transcript_id	cds_start	cds_stop	transcript_length	cds_length	5utr_length	3utr_length
NM_001110496	    56	  1736	  2924	  1680	    56	  1188
NM_007601	   280	  2746	  3166	  2466	   280	   420
NM_001177799	   280	  2470	  2890	  2190	   280	   420
NM_001109761	    73	  2203	  2623	  2130	    73	   420
NM_011743	   204	  5871	  9137	  5667	   204	  3266
NM_025475	    71	   776	  3154	   705	    71	  2378
NM_025657	   149	   869	  1848	   720	   149	   979
NM_001159612	   266	   986	  1965	   720	   266	   979
NM_001159610	   124	   970	  1949	   846	   124	   979
NM_001159609	   124	   919	  1898	   795	   124	   979
NM_001290808	   283	   706	  3084	   423	   283	  2378
NM_001290807	    67	   676	  3054	   609	    67	  2378
NM_009461	   113	  5387	  7761	  5274	   113	  2374
NM_001160424	     0	  2123	  2123	  2123	     0	     0
NM_010761	   102	  1173	  1572	  1071	   102	   399
NM_028799	    88	  2263	  2531	  2175	    88	   268
NM_013513	   284	  2360	  3920	  2076	   284	  1560
NM_177846	    98	  2159	  3407	  2061	    98	  1248
NM_153387	   226	  2230	  4253	  2004	   226	  2023
NM_001290812	   474	  1236	  2369	   762	   474	  1133
NM_029475	   151	  1234	  2367	  1083	   151	  1133
NM_001290824	   226	  2227	  4250	  2001	   226	  2023
NM_001290820	  1114	  2038	  2396	   924	  1114	   358
NM_001290819	  1001	  3506	  5929	  2505	  1001	  2423
NM_001290811	   460	  1342	  2475	   882	   460	  1133
NM_178795	   125	  4436	  5531	  4311	   125	  1095
NM_009897	   209	  1466	  1589	  1257	   209	   123
NM_001173506	   463	  8794	 11539	  8331	   463	  2745
NM_032393	    33	  9078	 11823	  9045	    33	  2745
NM_001081975	   111	  1431	  1887	  1320	   111	   456
NM_001025371	   211	  1690	  2534	  1479	   211	   844
NM_011354	   237	   417	  3053	   180	   237	  2636
NM_007952	   137	  1655	  2642	  1518	   137	   987
NM_026318	    18	   408	   604	   390	    18	   196
NM_145973	    74	  1262	  1674	  1188	    74	   412
NM_001290837	   237	   639	  3076	   402	   237	  2437
NM_153075	   379	  2146	  2247	  1767	   379	   101
NM_030234	   372	  1947	  4244	  1575	   372	  2297
NM_001290987	   704	  1817	  4114	  1113	   704	  2297
NM_001290986	   357	  1932	  4229	  1575	   357	  2297
NM_008545	   873	  1866	  2322	   993	   873	   456
NM_001290992	   979	  2035	  6733	  1056	   979	  4698
NM_001290991	   641	  2036	  6734	  1395	   641	  4698
NM_212450	   641	  2039	  6737	  1398	   641	  4698
NM_144545	    93	   879	  2413	   786	    93	  1534
NM_009735	    51	   411	   858	   360	    51	   447
NM_145531	    18	  7311	  7665	  7293	    18	   354
NM_001256055	    90	   876	  2409	   786	    90	  1533
NM_146126	    54	  1128	  2259	  1074	    54	  1131
NM_028914	    17	   674	  2111	   657	    17	  1437
NM_080510	   191	  1694	  1758	  1503	   191	    64
NM_001013829	   380	  1097	  1558	   717	   380	   461
NM_025777	   141	  1104	  1592	   963	   141	   488
NM_001099297	    31	  4687	  5267	  4656	    31	   580
NM_001305262	   321	  1347	  1543	  1026	   321	   196
NM_172980	  1328	  3311	  3904	  1983	  1328	   593
NM_001085518	  1166	  3149	  3740	  1983	  1166	   591
NM_025961	    61	  1333	  2357	  1272	    61	  1024
NM_001004174	    81	   333	   640	   252	    81	   307
NM_001033256	    61	  1321	  1321	  1260	    61	     0
NM_001162503	    98	  1451	  1664	  1353	    98	   213
NM_019788	   118	   637	  3494	   519	   118	  2857
NM_021507	   417	  1770	  1983	  1353	   417	   213
NM_199241	    54	  3276	  5756	  3222	    54	  2480
NM_199239	    54	  3147	  5627	  3093	    54	  2480
NM_199240	    54	  3219	  5699	  3165	    54	  2480
NM_001162417	   142	  1918	  2402	  1776	   142	   484
NM_001162418	   142	  1795	  2927	  1653	   142	  1132
NM_001162934	   643	   892	  1030	   249	   643	   138
NM_010852	   142	  1867	  2999	  1725	   142	  1132
NM_175034	    54	  1560	  1951	  1506	    54	   391
NM_001159646	    24	   627	  2263	   603	    24	  1636
NM_023595	   233	   722	  2358	   489	   233	  1636
NM_025613	    92	   572	  2543	   480	    92	  1971
NM_177608	   248	  3518	  6797	  3270	   248	  3279
NM_001285513	   277	  1237	  3128	   960	   277	  1891
NM_001285512	   513	  1473	  3364	   960	   513	  1891
NM_001285507	    93	  1446	  3337	  1353	    93	  1891
NM_009939	    93	  1425	  3316	  1332	    93	  1891
NM_008008	   463	  1048	  2672	   585	   463	  1624
NM_026981	   125	  1040	  1343	   915	   125	   303
NM_011978	   131	  1994	  2301	  1863	   131	   307
NM_010249	   237	  1284	  1446	  1047	   237	   162
NM_207669	   237	  1386	  2709	  1149	   237	  1323
NM_001271492	   237	   939	  3254	   702	   237	  2315
NM_001271468	   237	  1389	  2712	  1152	   237	  1323
NM_001271470	   402	  1446	  1608	  1044	   402	   162
NM_001271469	   237	   666	  1989	   429	   237	  1323
NM_001271467	   335	  1484	  2807	  1149	   335	  1323
NM_001164325	   285	  5874	  7142	  5589	   285	  1268
NM_029163	   173	  1346	  1748	  1173	   173	   402
NM_021450	   285	  5877	  7145	  5592	   285	  1268
NM_023220	   223	  1795	  5612	  1572	   223	  3817
NM_026678	   191	  1079	  1170	   888	   191	    91
NM_144818	    87	  2283	  2694	  2196	    87	   411
NM_175145	   184	   901	  4401	   717	   184	  3500
NM_177214	    90	  6501	  6740	  6411	    90	   239
NM_025296	   196	  1216	  3075	  1020	   196	  1859
NM_198630	   343	   946	  1266	   603	   343	   320
NM_010090	    79	  1036	  1618	   957	    79	   582
NM_009633	   279	  1641	  3936	  1362	   279	  2295
NM_172539	   255	  1500	  2382	  1245	   255	   882
NM_001291003	    61	  1369	  2251	  1308	    61	   882
NM_019789	   140	   911	  2754	   771	   140	  1843
NM_029629	   155	  1097	  1226	   942	   155	   129
NM_001111331	   392	  1085	  2928	   693	   392	  1843
NM_001081089	    91	  2497	  2628	  2406	    91	   131
NM_001291005	    52	   907	  2750	   855	    52	  1843
NM_028141	   303	  1587	  2989	  1284	   303	  1402
NM_001111029	    86	  1370	  2770	  1284	    86	  1400
NM_001171187	   562	   856	  2610	   294	   562	  1754
NM_029963	     2	  1301	  1434	  1299	     2	   133
NM_010762	   562	  1024	  2778	   462	   562	  1754
NM_145532	    31	   496	  1967	   465	    31	  1471
NM_016902	    37	  2113	  2297	  2076	    37	   184
NM_001291013	    37	  2107	  2291	  2070	    37	   184
NM_001291012	    37	  2110	  2294	  2073	    37	   184
NM_001113179	   114	  3294	  4337	  3180	   114	  1043
NM_009772	   114	  3291	  4334	  3177	   114	  1043
NM_009754	   228	   561	  4779	   333	   228	  4218
NM_207681	   228	   651	  4869	   423	   228	  4218
NM_207680	   228	   819	  5037	   591	   228	  4218
NM_001284410	    29	   527	  2327	   498	    29	  1800
NM_001291016	   228	   504	  2304	   276	   228	  1800
NM_008569	   267	  6102	  8967	  5835	   267	  2865
NM_001310641	     0	  1020	  1020	  1020	     0	     0
NM_020594	    96	  1014	  1567	   918	    96	   553
NM_024237	   141	  1464	  2909	  1323	   141	  1445
NM_027192	   200	  1334	  4562	  1134	   200	  3228
NM_015747	   490	  2536	  3303	  2046	   490	   767
NM_001159593	   490	  1228	  2019	   738	   490	   791
NM_025395	   156	   489	  1302	   333	   156	   813
NM_181589	    71	  2309	  3137	  2238	    71	   828
NM_010554	    60	   873	  1974	   813	    60	  1101
NM_001286502	   117	   864	  2316	   747	   117	  1452
NM_018863	   308	  1055	  2507	   747	   308	  1452
NM_183262	    24	  1644	  6193	  1620	    24	  4549
NM_001038635	    24	  1008	  5443	   984	    24	  4435
NM_177726	    87	  2208	  3327	  2121	    87	  1119
NM_001289749	   394	  1846	  2965	  1452	   394	  1119
NM_001289747	   900	  2352	  3471	  1452	   900	  1119
NM_001289748	   737	  2189	  3308	  1452	   737	  1119
NM_001033197	   130	  1450	  2982	  1320	   130	  1532
NM_138655	   321	  2988	  3216	  2667	   321	   228
NM_130884	    34	  1189	  1520	  1155	    34	   331
NM_009225	   128	   824	  1121	   696	   128	   297
NM_024193	    62	  1805	  1895	  1743	    62	    90
NM_001110513	    74	  1874	  2670	  1800	    74	   796
NM_029375	    73	   469	   525	   396	    73	    56
NM_019696	   123	  2292	  2421	  2169	   123	   129
NM_001163483	   250	   646	   702	   396	   250	    56
NM_025753	    68	   524	  1139	   456	    68	   615
NM_178762	   753	  2103	  3505	  1350	   753	  1402
NM_001114541	   166	  1516	  2918	  1350	   166	  1402
NM_030559	    75	  2595	  3206	  2520	    75	   611
NM_011025	    41	   419	   540	   378	    41	   121
NM_009732	    47	   554	   611	   507	    47	    57
NM_001291028	   215	  1976	  3977	  1761	   215	  2001
NM_001291027	   215	  2255	  4256	  2040	   215	  2001
NM_001146084	   296	  2720	  3127	  2424	   296	   407
NM_001255993	   454	  2074	  3884	  1620	   454	  1810
NM_029832	    80	  1028	  1101	   948	    80	    73
NM_197945	   215	  2318	  4319	  2103	   215	  2001
NM_001255994	   307	  1927	  3737	  1620	   307	  1810
NM_207207	    22	   625	   962	   603	    22	   337
NM_080562	   312	  1932	  3742	  1620	   312	  1810
NM_198176	   333	  2757	  3164	  2424	   333	   407
NM_001081162	   286	  2875	  3201	  2589	   286	   326
NM_020014	     0	   909	  1453	   909	     0	   544
NM_001136063	     0	   882	  1426	   882	     0	   544
NM_001271002	     0	   810	  1386	   810	     0	   576
NM_001271001	     0	   783	  1359	   783	     0	   576
NM_001163529	   300	  2616	  3082	  2316	   300	   466
NM_033615	   300	  2694	  3160	  2394	   300	   466
NM_028306	   120	  2178	  2943	  2058	   120	   765
NM_027641	   137	   842	  2264	   705	   137	  1422
NM_007682	   191	  1991	  2779	  1800	   191	   788
NM_001311138	   227	   761	  1321	   534	   227	   560
NM_001111075	   233	  1886	  3028	  1653	   233	  1142
NM_026091	   166	   691	  1241	   525	   166	   550
NM_023117	   233	  1964	  3106	  1731	   233	  1142
NM_153501	    69	  1401	  4266	  1332	    69	  2865
NM_144888	   351	  1863	  3098	  1512	   351	  1235
NM_001291032	   357	   870	  1168	   513	   357	   298
NM_001291031	   357	   960	  1601	   603	   357	   641
NM_001206385	   123	  1635	  2870	  1512	   123	  1235
NM_001206383	   458	  1460	  2695	  1002	   458	  1235
NM_027129	   357	  1104	  1512	   747	   357	   408
NM_001206382	   724	  1726	  2961	  1002	   724	  1235
NM_001177840	   201	   774	  1077	   573	   201	   303
NM_001177839	   201	   933	  1412	   732	   201	   479
NM_001177838	   201	   948	  1251	   747	   201	   303
NM_001177833	   201	  1959	  2262	  1758	   201	   303
NM_001177835	   201	  1740	  2011	  1539	   201	   271
NM_001177834	   201	  1812	  2083	  1611	   201	   271
NM_145533	   201	  1869	  2172	  1668	   201	   303
NM_001177837	   201	  1359	  1662	  1158	   201	   303
NM_001177836	   201	  1461	  1764	  1260	   201	   303
NM_013460	   117	  1806	  2394	  1689	   117	   588
NM_001278257	    62	   602	  1970	   540	    62	  1368
NM_001278256	  1725	  2490	  3732	   765	  1725	  1242
NM_011170	   184	   949	  2191	   765	   184	  1242
NM_001126338	    62	   602	  1940	   540	    62	  1338
NM_023043	    62	   602	  3178	   540	    62	  2576
NM_001278259	   230	   824	  2162	   594	   230	  1338
NM_001278258	   230	   824	  3400	   594	   230	  2576
NM_001278520	    41	   581	  1919	   540	    41	  1338
NM_175445	   270	  1251	  4785	   981	   270	  3534
NM_027478	   236	   599	  1593	   363	   236	   994
NM_001141971	   176	   539	  1533	   363	   176	   994
NM_001291040	   296	   686	  1244	   390	   296	   558
NM_001291039	    24	  1308	  8073	  1284	    24	  6765
NM_138651	   296	  1631	  8396	  1335	   296	  6765
NM_027096	   554	  2030	  3501	  1476	   554	  1471
NM_001291051	   660	  2136	  3607	  1476	   660	  1471
NM_001291050	   630	  2106	  3577	  1476	   630	  1471
NM_001291052	   678	  2154	  3625	  1476	   678	  1471
NM_028802	   202	  2230	  3701	  2028	   202	  1471
NM_001042672	   205	  2092	  3392	  1887	   205	  1300
NM_028637	   450	  1071	  1471	   621	   450	   400
NM_007694	   456	  2490	  2733	  2034	   456	   243
NM_001291054	   349	  2851	  3472	  2502	   349	   621
NM_025676	   349	  2767	  3388	  2418	   349	   621
NM_177303	    89	  2291	  3475	  2202	    89	  1184
NM_175113	   120	  1614	  2820	  1494	   120	  1206
NM_025646	   183	   750	  1594	   567	   183	   844
NM_001024385	   151	  1063	  1907	   912	   151	   844
NM_010403	    20	  1133	  2029	  1113	    20	   896
NM_029530	   386	  1229	  1955	   843	   386	   726
NM_175667	   369	  2697	  2723	  2328	   369	    26
NM_001291056	   213	   834	  2119	   621	   213	  1285
NM_011428	   213	   834	  2119	   621	   213	  1285
NM_001286983	   786	  1320	  1805	   534	   786	   485
NM_001286981	   996	  2505	  2990	  1509	   996	   485
NM_001141946	   760	  2473	  2958	  1713	   760	   485
NM_021527	   996	  2709	  3194	  1713	   996	   485
NM_001081090	   123	  2661	  3392	  2538	   123	   731
NM_027093	    66	  1098	  2732	  1032	    66	  1634
NM_028387	   398	   743	  3552	   345	   398	  2809
NM_178382	   475	  2425	  3984	  1950	   475	  1559
NM_001172160	  1028	  2978	  4537	  1950	  1028	  1559
NM_021335	    55	   733	  1230	   678	    55	   497
NM_020595	   107	   494	  1029	   387	   107	   535
NM_001291061	   242	  2252	  2390	  2010	   242	   138
NM_009751	   242	  2234	  2372	  1992	   242	   138
NM_133626	   286	  2392	  2690	  2106	   286	   298
NM_024281	   286	  4681	  5177	  4395	   286	   496
NM_024225	   145	  1360	  2418	  1215	   145	  1058
NM_001199188	   234	  1449	  2507	  1215	   234	  1058
NM_028984	   234	  1251	  2836	  1017	   234	  1585
NM_001289631	   176	  1193	  2778	  1017	   176	  1585
NM_001289630	   505	  1522	  3107	  1017	   505	  1585
NM_001166640	   430	  2386	  3265	  1956	   430	   879
NM_181417	   529	  2869	  3748	  2340	   529	   879
NM_001164813	    79	   322	   322	   243	    79	     0
NM_029763	   119	  1070	  4160	   951	   119	  3090
NM_172859	   127	  2464	  6831	  2337	   127	  4367
NM_015754	    81	   642	  2160	   561	    81	  1518
NM_001033297	    26	   350	   460	   324	    26	   110
NM_025490	    77	   548	   750	   471	    77	   202
NM_001037929	   129	   468	  1814	   339	   129	  1346
NM_001141965	    69	   606	  1142	   537	    69	   536
NM_025820	    96	  2169	  3111	  2073	    96	   942
NM_026425	    69	   636	  1172	   567	    69	   536
NM_175280	    66	   870	  1561	   804	    66	   691
NM_016889	   269	  1835	  3022	  1566	   269	  1187
NM_001077632	   384	  1131	  1354	   747	   384	   223
NM_023504	     0	  1065	  1065	  1065	     0	     0
NM_010919	   384	  1206	  2049	   822	   384	   843
NM_008780	    54	  1395	  2638	  1341	    54	  1243
NM_010446	   111	  1491	  2128	  1380	   111	   637
NM_001291067	   211	  1501	  2138	  1290	   211	   637
NM_001291065	    35	  1433	  2070	  1398	    35	   637
NM_009378	   242	  1976	  3718	  1734	   242	  1742
NM_010740	   111	  2046	  6638	  1935	   111	  4592
NM_009219	    94	  1252	  1388	  1158	    94	   136
NM_177655	   156	   579	   610	   423	   156	    31
NM_001110159	   389	   812	  1075	   423	   389	   263
NM_019632	    57	   954	  3693	   897	    57	  2739
NM_019761	   280	   703	   966	   423	   280	   263
NM_028986	   113	  2234	  4135	  2121	   113	  1901
NM_009979	    64	   478	   686	   414	    64	   208
NM_030059	    94	   514	   606	   420	    94	    92
NM_029960	    54	   456	   658	   402	    54	   202
NM_027054	     0	   426	   546	   426	     0	   120
NM_027024	   261	   687	   765	   426	   261	    78
NM_009978	   190	   619	   703	   429	   190	    84
NM_030135	    99	   492	   601	   393	    99	   109
NM_009976	   135	   558	   796	   423	   135	   238
NM_021405	   117	   564	   789	   447	   117	   225
NM_001145863	   113	  1601	  1728	  1488	   113	   127
NM_023266	    36	   429	  4032	   393	    36	  3603
NM_181266	    36	  1347	  4096	  1311	    36	  2749
NM_001142411	    97	  1609	  6920	  1512	    97	  5311
NM_001142410	   109	  2257	  3018	  2148	   109	   761
NM_001310645	    97	  2101	  7164	  2004	    97	  5063
NM_009977	   104	   539	   986	   435	   104	   447
NM_001034900	    81	  1767	  2706	  1686	    81	   939
NM_054068	   177	  1269	  3568	  1092	   177	  2299
NM_080575	    43	  2092	  3594	  2049	    43	  1502
NM_153781	    72	  2604	  3838	  2532	    72	  1234
NM_172117	   185	  1553	  2500	  1368	   185	   947
NM_001163476	   125	   617	   644	   492	   125	    27
NM_027014	   125	   716	  1087	   591	   125	   371
NM_001097977	   207	  2130	  2672	  1923	   207	   542
NM_026086	    53	   800	  1375	   747	    53	   575
NM_001097977	   207	  2130	  2672	  1923	   207	   542
NM_198326	   126	  1245	  1486	  1119	   126	   241
NM_001291074	   126	  1239	  1480	  1113	   126	   241
NM_198655	   207	  2130	  2682	  1923	   207	   552
NM_008019	   225	   552	  1657	   327	   225	  1105
NM_198214	   292	  1879	  4750	  1587	   292	  2871
NM_145535	   101	   980	  1398	   879	   101	   418
NM_001302077	   225	   552	  1653	   327	   225	  1101
NM_001302080	   365	   680	  1781	   315	   365	  1101
NM_001302079	   365	   680	  1785	   315	   365	  1105
NM_001302078	   334	   787	  1892	   453	   334	  1105
NM_001291077	   292	  1672	  4543	  1380	   292	  2871
NM_001291076	   292	  1780	  4651	  1488	   292	  2871
NM_001305244	   277	   751	  3323	   474	   277	  2572
NM_212446	   171	   987	  3559	   816	   171	  2572
NM_001160363	   479	  1178	  1435	   699	   479	   257
NM_001040689	   147	   834	  2371	   687	   147	  1537
NM_146127	   303	  1194	  1756	   891	   303	   562
NM_001289151	   172	  1063	  1625	   891	   172	   562
NM_001289150	   155	  1046	  1608	   891	   155	   562
NM_027172	   210	  1593	  2693	  1383	   210	  1100
NM_001164819	   142	  1525	  2625	  1383	   142	  1100
NM_028666	   448	  1339	  1901	   891	   448	   562
NM_001164820	   142	   895	  2137	   753	   142	  1242
NM_029688	   160	   628	  2812	   468	   160	  2184
NM_001160410	   521	  1457	  3395	   936	   521	  1938
NM_009328	    17	   605	   931	   588	    17	   326
NM_007788	   261	  1437	  4204	  1176	   261	  2767
NM_011438	   348	  1293	  4435	   945	   348	  3142
NM_019705	   211	  1738	  2238	  1527	   211	   500
NM_175126	   267	  1470	  3089	  1203	   267	  1619
NM_175093	   204	  1269	  2051	  1065	   204	   782
NM_001083921	   370	  1897	  2397	  1527	   370	   500
NM_001009948	    28	   637	  1380	   609	    28	   743
NM_001037933	    28	   529	   624	   501	    28	    95
NM_001039120	    44	   605	   647	   561	    44	    42
NM_176950	    60	   351	   690	   291	    60	   339
NM_001001444	    31	   268	   405	   237	    31	   137
NM_001002791	    27	   567	   625	   540	    27	    58
NM_001037502	    12	   282	   397	   270	    12	   115
NM_001159553	   121	   643	  4499	   522	   121	  3856
NM_001159552	   121	   796	  1096	   675	   121	   300
NM_145157	    65	   317	   394	   252	    65	    77
NM_009047	   235	  1129	  1603	   894	   235	   474
NM_025543	   123	   669	   795	   546	   123	   126
NM_207276	    88	   391	   426	   303	    88	    35
NM_001037247	   161	   365	   468	   204	   161	   103
NM_001039122	    26	   242	   293	   216	    26	    51
NM_001037752	    92	   293	   388	   201	    92	    95
NM_010495	    90	   537	   934	   447	    90	   397
NM_053091	    52	   571	   727	   519	    52	   156
NM_001159376	   227	   935	  3121	   708	   227	  2186
NM_001141978	   296	  2534	  4164	  2238	   296	  1630
NM_001141975	   293	  2531	  4161	  2238	   293	  1630
NM_145744	    50	   368	   538	   318	    50	   170
NM_010226	    77	  1067	  1311	   990	    77	   244
NM_028109	   484	  2722	  4352	  2238	   484	  1630
NM_001141976	   309	  2547	  4177	  2238	   309	  1630
NM_001081044	   196	  2038	  2948	  1842	   196	   910
NM_001141977	   497	  2735	  4365	  2238	   497	  1630
NM_029064	    56	  1451	  1547	  1395	    56	    96
NM_001011732	   163	  1906	  2711	  1743	   163	   805
NM_001083618	    56	  1442	  2939	  1386	    56	  1497
NM_178939	    63	   465	  1229	   402	    63	   764
NM_145536	    52	  1498	  2205	  1446	    52	   707
NM_133847	   256	  2188	  3895	  1932	   256	  1707
NM_010407	   225	  1800	  2092	  1575	   225	   292
NM_001172117	   288	  1800	  2092	  1512	   288	   292
NM_080463	    55	  1237	  5603	  1182	    55	  4366
NM_008444	   153	  2397	  5631	  2244	   153	  3234
NM_018807	   196	  1687	  5407	  1491	   196	  3720
NM_001001986	   156	  1464	  5615	  1308	   156	  4151
NM_133850	   104	   707	  3213	   603	   104	  2506
NM_010068	   413	  2744	  4075	  2331	   413	  1331
NM_001271747	   298	  2629	  3960	  2331	   298	  1331
NM_001271746	   298	  2689	  4020	  2391	   298	  1331
NM_001271745	   298	  2818	  4149	  2520	   298	  1331
NM_001271744	   298	  2878	  4209	  2580	   298	  1331
NM_001122997	   298	  2881	  4212	  2583	   298	  1331
NM_001195390	   392	   782	  3288	   390	   392	  2506
NM_001003961	   413	  2993	  4324	  2580	   413	  1331
NM_001003960	   413	  2933	  4264	  2520	   413	  1331
NM_001003963	   413	  2804	  4135	  2391	   413	  1331
NM_001305048	    86	  1208	  1232	  1122	    86	    24
NM_029599	    86	  1133	  1157	  1047	    86	    24
NM_001080811	    54	  1158	  1572	  1104	    54	   414
NM_194357	   140	  1562	  1821	  1422	   140	   259
NM_199303	   146	  1496	  1667	  1350	   146	   171
NM_001034875	    15	  1869	  2115	  1854	    15	   246
NM_028528	   200	   920	  1110	   720	   200	   190
NM_001291079	   200	   899	  1105	   699	   200	   206
NM_025990	    63	   876	  1085	   813	    63	   209
NM_153418	    81	  1506	  1636	  1425	    81	   130
NM_011126	    59	   896	  1104	   837	    59	   208
NM_144890	    43	  1516	  1637	  1473	    43	   121
NM_175167	    51	  1827	  2038	  1776	    51	   211
NM_001012392	   118	  1543	  1673	  1425	   118	   130
NM_025876	    58	  1825	  1970	  1767	    58	   145
NM_001025574	    59	  1835	  2046	  1776	    59	   211
NM_021546	    14	  1076	  1810	  1062	    14	   734
NM_001171640	   354	  1395	  1501	  1041	   354	   106
NM_001291105	   249	  1407	  2695	  1158	   249	  1288
NM_199304	     4	  2545	  3224	  2541	     4	   679
NM_021534	    44	   683	  1468	   639	    44	   785
NM_007891	   158	  1451	  2739	  1293	   158	  1288
NM_029305	    38	   632	   733	   594	    38	   101
NM_026030	   202	  1198	  2513	   996	   202	  1315
NM_015770	    82	   478	   692	   396	    82	   214
NM_016661	   105	  1404	  2541	  1299	   105	  1137
NM_025947	    82	   373	   686	   291	    82	   313
NM_025735	   243	   609	  1045	   366	   243	   436
NM_001291108	   302	   617	   930	   315	   302	   313
NM_019825	   141	  6351	  6872	  6210	   141	   521
NM_178111	   213	   879	  3934	   666	   213	  3055
NM_001242558	   141	  3375	  3896	  3234	   141	   521
NM_019811	    64	  2170	  2833	  2106	    64	   663
NM_144786	    49	  2038	  2611	  1989	    49	   573
NM_001163452	    78	  2472	  3198	  2394	    78	   726
NM_019828	    78	  2448	  3174	  2370	    78	   726
NM_001085378	    90	  5916	  6132	  5826	    90	   216
NM_010808	   131	  1988	  4306	  1857	   131	  2318
NM_011171	   181	   910	  1504	   729	   181	   594
NM_010579	   492	  1230	  1495	   738	   492	   265
NM_027788	     6	  2337	  2337	  2331	     6	     0
NM_018888	   274	  1162	  2668	   888	   274	  1506
NM_008109	   312	  1800	  2318	  1488	   312	   518
NM_001145352	   101	   428	  1579	   327	   101	  1151
NM_001145351	   137	   722	  1873	   585	   137	  1151
NM_025516	    16	  1168	  1297	  1152	    16	   129
NM_139151	   149	  1481	  1502	  1332	   149	    21
NM_001136556	     0	  5985	  6105	  5985	     0	   120
NM_025946	   226	   466	   550	   240	   226	    84
NM_001291114	   365	  1940	  2790	  1575	   365	   850
NM_001291115	   160	  1735	  2585	  1575	   160	   850
NM_001164217	   142	   382	   466	   240	   142	    84
NM_001164216	   128	   368	   452	   240	   128	    84
NM_133242	   365	  1958	  2808	  1593	   365	   850
NM_010911	    46	  1426	  2053	  1380	    46	   627
NM_020255	   257	   686	   760	   429	   257	    74
NM_001316755	    60	  1689	  1877	  1629	    60	   188
NM_001164818	   495	  1650	  3590	  1155	   495	  1940
NM_026661	   352	  1507	  3447	  1155	   352	  1940
NM_026124	   182	   572	  1050	   390	   182	   478
NM_029983	   230	  1010	  2508	   780	   230	  1498
NM_001291124	   266	   863	  2782	   597	   266	  1919
NM_173396	   266	   980	  2899	   714	   266	  1919
NM_172118	    69	   588	  1083	   519	    69	   495
NM_025853	   102	  1149	  2283	  1047	   102	  1134
NM_180956	   158	  1325	  2683	  1167	   158	  1358
NM_013865	   158	  1286	  2644	  1128	   158	  1358
NM_001139520	    40	  1996	  4010	  1956	    40	  2014
NM_018851	    40	  2017	  3887	  1977	    40	  1870
NM_001177439	     0	   639	   639	   639	     0	     0
NM_001139516	    79	  1864	  2381	  1785	    79	   517
NM_001039557	    74	  3224	  3462	  3150	    74	   238
NM_026968	   103	   361	  1107	   258	   103	   746
NM_010285	   104	   416	   517	   312	   104	   101
NM_001329683	    91	   403	   504	   312	    91	   101
NM_001025395	   384	  1992	  3869	  1608	   384	  1877
NM_009271	   384	  2010	  3887	  1626	   384	  1877
NM_010923	   111	   357	  1248	   246	   111	   891
NM_016916	   288	   552	  2080	   264	   288	  1528
NM_180960	   111	   276	  1167	   165	   111	   891
NM_001291129	   111	   489	  1243	   378	   111	   754
NM_001291128	   111	   501	  1255	   390	   111	   754
NM_001291130	   111	   303	  1194	   192	   111	   891
NM_029282	    43	  3301	  3772	  3258	    43	   471
NM_009373	    92	  2153	  3549	  2061	    92	  1396
NM_008489	   177	  1623	  2525	  1446	   177	   902
NM_177850	    54	  1515	  1779	  1461	    54	   264
NM_175692	   370	   634	  5864	   264	   370	  5230
NM_001145015	     9	  2028	  2028	  2019	     9	     0
NM_145635	   131	   374	   632	   243	   131	   258
NM_009508	   484	  2062	  2805	  1578	   484	   743
NM_175419	   229	  2056	  2377	  1827	   229	   321
NM_027975	    15	  1773	  2260	  1758	    15	   487
NM_001291144	   567	  2214	  3310	  1647	   567	  1096
NM_145742	    82	  2122	  3218	  2040	    82	  1096
NM_010658	   389	  1361	  3389	   972	   389	  2028
NM_001033411	   107	   437	  1097	   330	   107	   660
NM_021280	   134	  4043	  4435	  3909	   134	   392
NM_001199118	   251	  2798	  3396	  2547	   251	   598
NM_001291145	   168	  2304	  3417	  2136	   168	  1113
NM_022883	   328	  2875	  3473	  2547	   328	   598
NM_182840	   168	  2445	  3558	  2277	   168	  1113
NM_001081338	   252	  2733	  2733	  2481	   252	     0
NM_172150	    68	  1349	  2124	  1281	    68	   775
NM_026499	   163	  1183	  3546	  1020	   163	  2363
NM_001291152	   270	  1371	  2436	  1101	   270	  1065
NM_013731	   385	  1489	  2554	  1104	   385	  1065
NM_001291154	   986	  2003	  3068	  1017	   986	  1065
NM_008652	   194	  2309	  3702	  2115	   194	  1393
NM_026630	   349	   805	   880	   456	   349	    75
NM_001205076	   367	  2458	  4155	  2091	   367	  1697
NM_021566	   447	  2538	  4235	  2091	   447	  1697
NM_025699	   103	   979	  1562	   876	   103	   583
NM_001312906	   227	  1577	  4393	  1350	   227	  2816
NM_001312907	   227	  1547	  4363	  1320	   227	  2816
NM_001099331	   174	   936	  1094	   762	   174	   158
NM_008261	   150	  1575	  4391	  1425	   150	  2816
NM_173397	    54	   843	  1643	   789	    54	   800
NM_012032	   107	  1526	  3694	  1419	   107	  2168
NM_029512	   119	  1151	  4523	  1032	   119	  3372
NM_001305803	    15	  1029	  4401	  1014	    15	  3372
NM_181734	   116	  1148	  4520	  1032	   116	  3372
NM_001272052	   148	  1207	  1704	  1059	   148	   497
NM_016873	   309	  1065	  1775	   756	   309	   710
NM_007398	   148	  1207	  1701	  1059	   148	   494
NM_183023	     0	   810	   832	   810	     0	    22
NM_001030292	     0	  1032	  1032	  1032	     0	     0
